" -F1180,S919+F4492,S4493"," -F1180,S919+F4494,S4495"," -F1180,S919+F4520,S4521"," -F1180,S919+F1094,S1093"," -F1180,S919+F4464,S4465"," -F1180,S919+F1187,S926"," -F1180,S919+F1293,S1034"," -F1180,S919+F814,S1072"," -F1180,S919+F1012,S1013"," -F1176,S1177+F4513,S4514"," -F1176,S1177+F929,S930"," -F4615,S4616+F1149,S1150"," -F4615,S4616+F956,S957"," -F4477,S4478+F1205,S1206"," -F4477,S4478+F900,S901"," -F4613,S4614+F1147,S1148"," -F4613,S4614+F958,S959"," -F4501,S4502+F1174,S1175"," -F4501,S4502+F931,S932"," -F4479,S4480+F1203,S1204"," -F4479,S4480+F902,S903"," -F914,S915+F1193,S1194"," -F4574,S4575+F1103,S1104"," -F4410,S4411+F842,S843"," -F4577,S4578+F1111,S1112"," -F4572,S4573+F1108,S1109"," -F4523,S4524+F1099,S1100"," -F4579,S4580+F1115,S1116"," -F4581,S4582+F1128,S1129"," -F4526,S4527+F1121,S1122"," -F4516,S4517+F1119,S1120"," -F4583,S4584+F1135,S1136"," -F4568,S4569+F1132,S1133"," -F4461,S4462+F839,S840"," -F4412,S4413+F847,S848"," -F4407,S4408+F851,S852"," -F4405,S4406+F854,S855"," -F4468,S4469+F860,S861"," -F4458,S4459+F862,S863"," -F4403,S4404+F868,S869"," -F4416,S4417+F871,S872"," -F4401,S4402+F875,S876"," -F4585,S4586+F1140,S1141"," -F4587,S4588+F1144,S1145"," -F4530,S4531+F1155,S1156"," -F4564,S4565+F1157,S1158"," -F4510,S4511+F1159,S1160"," -F4562,S4563+F1168,S1169"," -F4533,S4534+F1166,S1167"," -F4508,S4509+F1164,S1165"," -F4471,S4472+F912,S913"," -F4473,S4474+F892,S893"," -F4454,S4455+F894,S895"," -F4399,S4400+F880,S881"," -F4397,S4398+F883,S884"," -F4475,S4476+F896,S897"," -F4451,S4452+F908,S909"," -F4420,S4421+F906,S907"," -F4422,S4423+F910,S911"," -F4369,S4370+F1172,S1173"," -F4560,S4561+F937,S938"," -F4535,S4536+F939,S940"," -F4506,S4507+F941,S942"," -F4558,S4559+F948,S949"," -F4504,S4505+F946,S947"," -F4592,S4593+F1222,S1223"," -F4538,S4539+F950,S951"," -F4594,S4595+F1225,S1226"," -F4449,S4450+F1197,S1198"," -F4481,S4482+F1209,S1210"," -F4424,S4425+F1195,S1196"," -F4371,S4372+F933,S934"," -F4426,S4427+F1199,S1200"," -F4483,S4484+F1213,S1214"," -F4446,S4447+F1211,S1212"," -F4485,S4486+F1191,S1192"," -F4392,S4393+F961,S962"," -F4390,S4391+F965,S966"," -F4596,S4597+F1230,S1231"," -F4554,S4555+F1234,S1235"," -F4598,S4599+F1237,S1238"," -F4542,S4543+F1243,S1244"," -F4498,S4499+F1245,S1246"," -F4600,S4601+F1251,S1252"," -F4602,S4603+F1254,S1255"," -F4550,S4551+F1258,S1259"," -F4545,S4546+F1266,S1267"," -F4442,S4443+F984,S985"," -F4488,S4489+F986,S987"," -F4430,S4431+F973,S974"," -F4388,S4389+F970,S971"," -F4386,S4387+F977,S978"," -F4384,S4385+F990,S991"," -F4439,S4440+F1006,S1007"," -F4434,S4435+F997,S998"," -F4382,S4383+F994,S995"," -F4548,S4549+F1263,S1264"," -F4436,S4437+F1002,S1003"
102.80,103.34,96.90,76.04,96.56,10.93,80.40,72.51,82.80,117.26,257.57,330.91,653.01,361.77,159.62,369.55,591.80,233.34,301.42,339.65,166.70,192.66,269.95,263.12,315.82,269.76,184.35,276.56,274.54,145.00,124.95,253.70,207.74,188.76,259.31,299.94,271.13,125.54,141.24,270.58,219.28,260.05,251.58,270.50,356.79,243.41,363.46,400.09,312.55,345.54,129.96,55.21,287.43,256.58,276.59,237.86,423.18,328.01,294.54,539.59,445.64,445.61,371.69,384.53,392.10,258.34,405.87,242.10,438.80,343.91,424.22,310.76,385.08,328.10,325.07,254.77,260.74,251.20,242.02,207.22,254.66,137.04,121.80,257.22,289.48,249.86,178.33,137.43,117.87,202.42,248.46,253.64,259.87,184.69,247.58,294.45,251.24,241.54
104.21,104.79,97.83,76.74,96.41,10.84,81.83,73.14,84.06,121.13,263.47,336.15,648.40,361.17,163.41,383.78,585.50,237.04,305.12,338.39,169.88,198.99,281.33,282.44,309.88,274.23,189.91,271.49,279.78,143.75,125.62,256.50,209.63,205.08,282.62,324.51,295.98,129.72,145.79,295.90,235.83,279.17,255.29,274.34,371.24,243.61,388.88,409.13,312.49,358.15,133.31,59.02,310.63,275.03,293.77,241.34,453.40,349.80,301.58,566.49,466.28,471.70,366.96,396.63,392.24,259.27,425.15,244.54,463.12,343.76,447.92,331.33,406.55,324.89,340.43,263.81,273.46,257.68,244.97,212.11,258.61,138.14,123.49,261.27,295.96,262.06,181.59,141.33,119.17,208.59,254.86,260.87,266.59,187.96,250.16,298.79,263.62,248.39
108.02,108.29,100.56,79.62,101.75,11.48,84.26,75.89,86.73,131.81,270.91,359.05,766.93,417.98,184.92,411.96,696.52,265.96,343.28,390.73,194.17,206.98,281.82,288.57,323.80,279.62,195.21,284.68,286.94,150.27,128.04,269.06,216.94,208.42,277.25,322.38,296.56,131.37,149.06,292.02,235.00,280.47,268.19,290.15,385.26,280.22,389.79,426.14,362.29,368.69,143.99,61.57,307.70,275.87,294.00,273.12,454.53,352.40,342.43,570.12,477.24,479.92,433.54,412.81,461.37,273.95,432.94,259.37,465.59,399.64,452.83,333.49,404.09,378.33,341.74,276.51,276.53,264.51,259.56,222.29,276.08,141.93,125.24,278.76,318.17,267.25,187.22,142.14,124.39,210.95,262.87,265.86,270.11,185.09,259.68,303.44,277.21,251.76
110.91,110.14,100.27,78.87,100.29,11.32,85.66,74.78,88.60,144.26,281.50,360.95,789.99,438.92,188.81,412.44,721.12,284.72,364.00,412.07,198.55,209.96,285.39,274.14,331.70,285.15,201.39,287.77,288.28,150.49,132.63,275.36,219.83,196.30,270.13,311.78,289.84,132.05,147.12,290.39,230.36,276.66,271.40,289.16,379.16,282.73,386.93,432.55,368.69,372.35,158.52,62.81,308.47,275.93,290.71,279.92,457.61,355.79,357.10,580.19,492.72,487.99,451.83,423.47,485.15,287.60,443.68,269.85,477.82,421.73,460.85,336.16,417.24,394.01,353.75,296.11,294.69,278.26,271.06,233.36,283.50,150.27,131.18,294.37,331.92,289.43,201.35,147.80,127.98,222.98,274.72,280.82,290.41,197.53,281.38,329.94,297.01,270.63
108.78,108.77,98.55,77.41,97.37,11.11,84.75,73.64,86.70,128.08,281.90,348.52,703.06,385.51,169.16,398.17,640.42,252.84,322.50,359.98,178.02,197.29,303.48,270.11,343.88,296.96,212.32,290.84,300.41,143.80,127.33,276.07,223.48,197.39,268.10,305.22,277.88,129.56,142.72,282.38,224.36,263.75,274.09,286.37,384.41,258.45,397.74,431.27,336.25,376.62,138.90,58.09,299.96,265.10,286.65,252.37,445.57,347.26,315.70,568.80,497.12,495.38,398.03,428.28,419.51,285.13,442.65,264.69,478.65,367.22,459.60,319.32,414.89,351.46,353.09,268.84,284.58,269.03,264.60,226.50,276.35,148.06,130.01,288.36,330.51,292.54,203.90,145.11,123.29,219.16,268.91,275.71,284.02,203.58,278.27,330.33,289.08,276.29
109.19,109.41,98.03,77.21,97.28,11.23,84.93,73.56,87.15,128.08,282.73,363.73,679.60,368.28,164.42,416.32,616.67,249.32,316.68,345.38,171.52,199.44,295.89,282.65,336.54,290.67,208.57,290.01,297.27,145.46,127.67,280.39,228.12,205.96,279.85,320.52,288.25,125.31,140.55,293.31,233.68,275.98,278.56,297.63,397.44,252.67,410.84,441.22,325.96,389.15,138.39,58.76,307.41,275.66,294.69,245.82,455.09,351.66,308.19,580.90,514.67,510.05,384.95,435.44,403.51,293.13,459.85,276.64,490.76,352.39,468.74,325.18,420.15,335.41,367.26,268.86,288.84,264.32,275.80,240.21,294.16,144.23,126.51,300.44,344.54,309.66,215.90,147.38,127.33,217.81,264.98,273.36,279.73,205.91,283.19,320.06,305.62,275.56
106.11,106.09,94.42,74.89,93.98,10.71,82.08,70.80,84.09,124.52,260.09,329.76,676.82,373.24,163.08,374.62,614.57,245.35,313.61,350.50,170.17,194.20,267.98,259.87,310.77,261.66,183.41,269.58,268.42,139.32,125.18,252.08,203.65,182.79,250.79,291.55,263.31,125.43,141.06,268.61,213.90,254.89,252.58,263.93,353.12,248.50,359.70,399.12,321.76,345.60,137.81,56.27,284.31,249.64,274.43,243.15,416.74,329.14,300.95,534.48,455.25,457.89,381.70,391.54,407.71,261.05,413.05,247.28,445.48,357.69,432.29,309.94,388.47,341.53,334.19,263.93,267.93,257.28,249.87,213.73,260.21,142.55,124.94,268.47,309.78,270.09,191.52,142.55,120.84,206.36,253.36,264.09,263.99,190.42,261.16,308.31,270.48,259.58
105.97,105.80,95.19,75.64,94.14,10.69,82.22,71.44,84.91,128.17,263.97,332.47,672.05,373.82,166.96,387.41,609.73,247.94,317.33,349.38,174.78,200.19,270.03,276.70,300.10,258.55,187.96,262.79,272.54,139.52,125.24,251.40,198.75,196.67,272.98,312.48,285.59,129.27,145.53,293.87,230.30,273.96,250.73,263.19,360.53,246.78,381.65,408.26,318.77,358.38,141.45,60.34,304.26,267.14,288.90,249.46,445.46,350.48,310.04,562.15,470.00,477.66,378.63,402.00,404.23,263.15,432.86,250.56,463.25,356.50,454.24,330.87,408.92,342.45,348.18,272.95,281.63,265.37,253.32,218.15,262.82,143.46,126.52,272.71,311.74,278.03,194.15,147.00,123.84,212.62,263.15,268.51,273.44,193.67,262.02,310.95,281.66,266.41
111.08,111.58,100.04,78.66,99.41,11.48,86.06,74.42,88.62,138.05,266.67,346.71,779.11,422.27,185.51,404.87,711.29,272.39,349.24,393.86,194.83,205.53,264.63,280.21,306.86,261.09,185.68,267.21,275.34,145.12,130.26,259.53,205.68,198.09,265.43,308.41,284.17,129.34,147.72,285.27,225.39,271.33,256.54,273.50,368.13,279.47,375.04,414.81,361.99,360.80,151.21,61.05,299.46,265.94,289.29,271.66,443.12,347.65,339.49,559.79,475.41,476.31,435.32,406.02,467.15,271.42,433.40,260.41,461.07,405.51,453.19,328.56,403.67,385.45,347.03,284.35,281.36,270.42,263.25,222.23,276.55,149.61,130.23,285.17,334.14,283.87,201.67,147.92,129.85,214.86,269.21,273.75,279.82,192.33,273.76,318.95,294.33,273.43
105.41,106.39,95.22,74.71,94.70,10.93,81.98,70.74,85.27,145.53,251.64,318.84,730.88,408.31,177.18,367.33,667.70,279.48,355.89,383.26,184.76,203.96,247.92,246.11,288.65,242.26,173.40,250.00,247.06,139.47,125.49,240.99,189.89,175.85,238.12,274.51,256.70,123.54,142.05,249.07,197.40,247.32,235.31,247.73,326.18,262.51,331.28,376.07,342.86,322.84,162.60,61.12,270.88,238.02,258.63,264.14,396.89,311.45,334.12,506.14,430.84,434.25,416.65,366.69,448.70,251.84,388.26,243.27,416.24,390.78,403.57,302.08,365.95,369.90,314.82,300.23,254.43,245.77,242.08,207.69,255.65,140.63,126.07,259.72,301.36,254.25,178.77,143.33,126.30,193.03,245.08,251.75,255.30,177.30,249.02,292.31,266.59,245.44
